date,price,volume
2024-10-18 06:09:51.510,67971.95582603214,33140324053.08082
2024-10-18 07:01:38.659,68027.92128729771,37151685266.13709
2024-10-18 08:05:31.759,67925.13284870295,38119140852.20402
2024-10-18 09:15:26.368,67931.19325360672,33583259311.187286
2024-10-18 10:01:51.837,67795.18448256691,38122390770.81742
2024-10-18 11:08:54.924,67819.1974582885,35268121502.65567
2024-10-18 12:17:24.627,67786.38362511282,37143288771.7197
2024-10-18 13:01:56.095,67639.23053305398,30972352102.895123
2024-10-18 14:17:45.611,68066.05890516771,37582131121.16656
2024-10-18 15:07:13.456,68419.05017853026,38445788038.70818
2024-10-18 16:11:50.963,68516.53814816607,40299289683.02363
2024-10-18 17:03:27.918,68860.81979831123,40466294814.1876
2024-10-18 18:19:07.032,68674.04930414695,36913592402.05531
2024-10-18 19:01:29.739,68818.86219394306,37161174385.3303
2024-10-18 20:15:49.584,68592.18103003321,39919589884.21614
2024-10-18 21:12:42.884,68374.00849415653,40430783894.45595
2024-10-18 22:15:54.177,68313.33008540582,40990481769.78452
2024-10-18 23:03:51.319,68207.84385443444,37187159411.62047
2024-10-19 00:09:23.517,68465.27205109,39835067891.76405
2024-10-19 01:12:24.121,68391.47259599468,39328498097.43245
2024-10-19 02:00:50.423,68322.86508941474,29653338777.945896
2024-10-19 03:16:44.536,68583.88574548792,30600819926.162006
2024-10-19 04:17:07.809,68511.12776547814,30077790352.89745
2024-10-19 05:05:04.518,68328.06231657199,31475548159.72914
2024-10-19 06:21:22.437,68421.94974335299,32383847532.43003
2024-10-19 07:02:56.939,68320.54801860373,33459370033.159348
2024-10-19 08:19:07.980,68369.12306366205,28928684393.10434
2024-10-19 09:00:50.190,68395.99619757547,29125063055.106068
2024-10-19 10:01:55.798,68342.70025901824,23861390383.77346
2024-10-19 11:04:54.080,68235.7274962037,28199513215.90286
2024-10-19 12:09:59.956,68135.41134585769,29635940445.190285
2024-10-19 13:10:47.869,68132.86920292098,28469431191.621212
2024-10-19 14:02:04.753,68109.50900897536,24868607857.609554
2024-10-19 15:02:44.003,68317.17914416223,23572349889.76247
2024-10-19 16:16:08.279,68161.66811455165,18470262664.296707
2024-10-19 17:17:48.187,68086.81749482211,18358220971.466114
2024-10-19 18:09:30.233,68120.15813192556,16298826205.229414
2024-10-19 19:09:33.581,68153.76314929451,16068501917.431953
2024-10-19 20:00:37.622,68180.57948997102,15202738586.632986
2024-10-19 21:12:21.777,68274.29571728516,14420078905.405956
2024-10-19 22:16:47.611,68243.4257567939,13236755524.576206
2024-10-19 23:14:06.133,68292.6510250729,13973324663.86359
2024-10-20 00:12:55.930,68401.31281361237,14109945407.63092
2024-10-20 01:08:17.530,68227.12665520306,13382660118.197878
2024-10-20 02:04:35.860,68142.6398721451,14236420479.334486
2024-10-20 03:04:09.241,68165.56901678542,11478405561.128542
2024-10-20 04:08:59.573,68182.19152428264,11492607284.78285
2024-10-20 05:10:32.656,68258.0593326102,13054530125.318481
2024-10-20 06:10:39.936,68165.0993531082,13608403513.712004
2024-10-20 07:11:27.247,68362.4731678283,12213677537.559948
2024-10-20 08:12:24.392,68369.00506126168,14080320711.61977
2024-10-20 09:09:17.777,68390.8137461114,12591408941.42196
2024-10-20 10:02:22.570,68424.8157383145,11975171763.792282
2024-10-20 11:10:49.969,68364.43077005011,11598256325.001436
2024-10-20 12:12:50.263,68408.5049535702,13191816108.83296
2024-10-20 13:04:19.292,68231.41614551644,13600722087.313602
2024-10-20 14:08:35.881,68507.98878821934,14100668584.588453
2024-10-20 15:02:32.543,68644.27766821353,14218564665.00007
2024-10-20 16:11:41.542,68547.21799195738,14477674252.39254
2024-10-20 17:02:38.850,68483.87886318057,14724858217.347506
2024-10-20 18:13:52.069,68649.27711834146,15716869934.899641
2024-10-20 19:03:52.012,68580.24448000027,14589951395.529085
2024-10-20 20:12:42.175,68506.61626561583,14814708664.28125
2024-10-20 21:07:48.546,68780.18420051697,15790445048.26854
2024-10-20 22:01:16.793,68724.29007539265,14946024689.085445
2024-10-20 23:14:55.869,68928.71558093466,19653343601.80745
2024-10-21 00:14:50.939,69058.70652244636,18891559418.676678
2024-10-21 01:01:50.843,69137.43301697387,21507663479.279995
2024-10-21 02:08:48.364,69227.74861744537,21902213538.516495
2024-10-21 03:06:45.880,68736.20680857649,22015098144.019608
2024-10-21 04:14:19.167,68844.45959222123,23614622854.199116
2024-10-21 05:13:16.150,69038.93052187603,25300210566.795258
